City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
183,Faanui,PF,-16.4833,-151.75,80.89,74,95,20.69,light rain
184,Teya,RU,60.3778,92.6267,9.75,98,100,1.36,overcast clouds
185,Butajira,ET,8.1167,38.3667,69.21,35,79,6.98,broken clouds
186,Kavaratti,IN,10.5669,72.642,78.53,66,44,8.59,scattered clouds
187,Fukue,JP,32.6881,128.8419,45.21,58,97,17.94,overcast clouds
188,Turukhansk,RU,65.8167,87.9833,-11.47,100,93,3.22,overcast clouds
189,Santander,ES,43.4647,-3.8044,53.82,52,0,3.0,clear sky
190,Tuy Hoa,VN,13.0833,109.3,72.7,92,100,5.35,overcast clouds
191,Ugoofaaru,MV,5.6667,73.0,81.66,64,97,11.65,overcast clouds
192,Lasa,IT,46.6166,10.7002,43.54,79,93,3.51,overcast clouds
193,Athabasca,CA,54.7169,-113.2854,36.82,88,100,12.39,overcast clouds
194,Bandarbeyla,SO,9.4942,50.8122,76.08,69,78,12.8,broken clouds
195,Hamilton,US,39.1834,-84.5333,32.99,72,0,1.01,light snow
196,Bundaberg,AU,-24.85,152.35,67.21,83,54,5.99,broken clouds
197,Vanimo,PG,-2.6741,141.3028,78.42,86,87,4.63,overcast clouds
198,Olafsvik,IS,64.8945,-23.7142,28.83,70,80,14.38,broken clouds
199,Mahanoro,MG,-19.9,48.8,79.66,88,100,8.77,light rain
200,Ostrovskoye,RU,57.8057,42.2433,3.24,100,82,4.76,broken clouds
201,Agadir,MA,30.4202,-9.5982,82.85,40,24,10.96,few clouds
202,Bambanglipuro,ID,-7.95,110.2833,76.01,95,100,3.33,overcast clouds
203,Miramar,US,25.9873,-80.2323,79.02,72,20,6.91,few clouds
204,Pevek,RU,69.7008,170.3133,-24.48,99,29,1.32,scattered clouds
205,Maicao,CO,11.3832,-72.2432,86.27,48,39,12.84,scattered clouds
206,Bathsheba,BB,13.2167,-59.5167,84.81,61,40,17.27,scattered clouds
207,Salalah,OM,17.0151,54.0924,77.09,78,0,2.3,clear sky
208,Tiksi,RU,71.6872,128.8694,-17.59,99,100,3.33,overcast clouds
209,Severnyy,RU,50.677,36.5532,32.04,86,75,6.71,light snow
210,Zhezkazgan,KZ,47.8043,67.7144,25.61,97,100,14.36,snow
211,Khatanga,RU,71.9667,102.5,-23.12,99,94,7.45,overcast clouds
212,Yar-Sale,RU,66.8333,70.8333,-15.38,100,66,5.86,broken clouds
213,Aloleng,PH,16.1307,119.7824,77.67,69,29,9.01,scattered clouds
214,Richards Bay,ZA,-28.783,32.0377,74.55,88,23,8.5,light rain
215,Sorland,NO,67.667,12.6934,33.87,63,100,17.87,overcast clouds
216,Umm Lajj,SA,25.0213,37.2685,70.23,45,0,24.79,clear sky
217,Karatau,KZ,43.1667,70.4667,36.25,81,100,35.1,overcast clouds
218,Aykhal,RU,66.0,111.5,-9.11,98,100,5.08,overcast clouds
