City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
784,Salalah,OM,75.29,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
788,Alugan,PH,79.27,scattered clouds,12.2188,125.4808,JM Lodge
790,Coihaique,CL,82.35,few clouds,-45.5752,-72.0662,Diego De Almagro Coyhaique
792,Kavieng,PG,81.16,broken clouds,-2.5744,150.7967,Nusa Island Retreat
801,Kumba,CM,76.71,clear sky,4.6363,9.4469,El Bethel Hotel
802,Bousso,TD,79.9,broken clouds,10.4795,16.7117,
803,Isangel,VU,77.11,light rain,-19.55,169.2667,Tanna Lodge
816,Port-Gentil,GA,80.56,few clouds,-0.7193,8.7815,Fengshui Residence
820,Bambous Virieux,MU,79.21,scattered clouds,-20.3428,57.7575,Casa Tia Villa
827,Namibe,AO,75.06,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
828,Yenagoa,NG,82.24,clear sky,4.9247,6.2642,Aridolf Resort Wellness and Spa
830,Arawa,PG,76.93,overcast clouds,-6.2132,155.5367,Coastline Guest House
839,Pontes E Lacerda,BR,81.3,overcast clouds,-15.2261,-59.3353,Hotel Bressan
840,Nhulunbuy,AU,77.61,overcast clouds,-12.2333,136.7667,East Arnhem Real Estate
842,Poum,NC,80.08,overcast clouds,-20.2333,164.0167,
844,Faanui,PF,81.23,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
845,Chapadinha,BR,84.11,broken clouds,-3.7417,-43.3603,Chapadinhense Hotel
846,El Alto,PE,80.26,few clouds,-4.2714,-81.2147,Black Marlin Restaurant & Hospedaje
851,Hithadhoo,MV,82.47,scattered clouds,-0.6,73.0833,Scoop Guest House
854,Kapoeta,SS,83.7,overcast clouds,4.7717,33.5903,Eastgate Hotel
857,Angoche,MZ,77.22,light rain,-16.2325,39.9086,Guest House HESADA
860,Axim,GH,80.15,broken clouds,4.8699,-2.2405,Axim Beach Resort And Spa
863,Chuy,UY,75.27,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
864,Saint-Philippe,RE,80.15,overcast clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
867,Tual,ID,82.83,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
871,Monte Patria,CL,87.22,clear sky,-30.6919,-70.9467,Hotel Monte Cordillera
872,Carutapera,BR,80.4,moderate rain,-1.195,-46.02,Lidera
887,Kita,ML,83.93,clear sky,13.0349,-9.4895,Hôtel Chat Rouge
888,Manoel Urbano,BR,80.8,overcast clouds,-8.8389,-69.2597,Baixada Beira Rio
892,Edd,ER,75.52,overcast clouds,13.9297,41.6925,
893,Bouca,CF,77.7,overcast clouds,6.5105,18.2733,
897,Georgetown,MY,78.73,scattered clouds,5.4112,100.3354,Cititel Penang
905,Makakilo City,US,77.32,light rain,21.3469,-158.0858,Marriott's Ko Olina Beach Club
909,Mahebourg,MU,79.25,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
910,Pau Brasil,BR,79.02,broken clouds,-15.4642,-39.6511,Tina Hotel
911,Victor Harbor,AU,77.79,clear sky,-35.5667,138.6167,McCracken Country Club
913,Trincomalee,LK,79.02,overcast clouds,8.5711,81.2335,Welcombe Hotel
918,Coahuayana,MX,87.28,clear sky,18.7333,-103.6833,El rranchito michuacan de ocampos
920,Catamarca,AR,80.78,scattered clouds,-28.4696,-65.7852,Amerian Catamarca Park Hotel
921,Fayaoue,NC,82.0,broken clouds,-20.65,166.5333,Chez Dydyce Guesthouse
922,Beroroha,MG,75.43,overcast clouds,-21.6667,45.1667,
924,Prata,BR,76.15,moderate rain,-19.3072,-48.9242,Hotel Pontal Aluga-se Quitinetes e suítes mensalmente
926,Maunabo,PR,75.04,moderate rain,18.0072,-65.8993,Maunacaribe
928,Atar,MR,80.96,clear sky,20.5169,-13.0499,Oumou Elghoura
929,Sao Miguel,BR,86.77,clear sky,-5.4667,-35.3667,CEJ - Centro Escoteiro da Juventude
934,Bourail,NC,77.83,light rain,-21.5667,165.4833,Motel Allamanda
941,Kailua,US,78.78,broken clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
943,Luanda,AO,77.0,few clouds,-8.8368,13.2343,Hotel Fórum
945,Guarapari,BR,82.29,clear sky,-20.6667,-40.4975,Hotel Porto do Sol
950,Mutis,CO,81.01,broken clouds,6.2262,-77.4044,Paraiso Escondido
951,Luba,GQ,78.69,clear sky,3.4568,8.5547,
952,Omboue,GA,78.31,light rain,-1.5746,9.2618,Hotel Olako
955,Bintulu,MY,75.61,moderate rain,3.1667,113.0333,900 Boutique INN
957,Banyumas,ID,80.08,overcast clouds,-7.5142,109.2942,Hadipriyanto Homestay
958,Coxim,BR,85.23,overcast clouds,-18.5067,-54.76,Hotel Avenida
962,Bakel,SN,87.26,clear sky,14.905,-12.4568,Ablaye Diallo Bakel
966,Kongoussi,BF,78.76,clear sky,13.3258,-1.5347,Hôtel La Sagesse
970,Xuddur,SO,79.14,overcast clouds,4.1213,43.8894,Banjanay Hotel
971,Tautira,PF,86.02,light rain,-17.7333,-149.15,Pension Oaoa
978,Bafoulabe,ML,88.11,clear sky,13.8065,-10.8321,Logement du Chargé SIS Abdoul Karim Konaté
979,Castro,BR,77.86,light rain,-24.7911,-50.0119,CHACARA BAILLY
981,Tsabong,BW,79.2,few clouds,-26.0217,22.401,Springbok Motel
982,Sao Gabriel Da Cachoeira,BR,85.8,scattered clouds,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
984,Caravelas,BR,83.34,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
987,La Asuncion,VE,85.73,scattered clouds,11.0333,-63.8628,Colinas de Matasiete
989,Bathsheba,BB,83.01,scattered clouds,13.2167,-59.5167,Atlantis Hotel
992,Cayenne,GF,81.09,light rain,4.9333,-52.3333,Hôtel Le Dronmi
993,Teutonia,BR,82.72,clear sky,-29.4481,-51.8064,Baviera Park Hotel
998,Libenge,CD,80.02,scattered clouds,3.65,18.6333,
1000,Camana,PE,75.09,broken clouds,-16.6228,-72.7111,Hostal Morales
1002,Lamin,GM,80.67,clear sky,13.3522,-16.4339,Jerreh Camp Lodge
1009,Meulaboh,ID,76.14,overcast clouds,4.1363,96.1285,Kost Pria
1010,Bubaque,GW,77.77,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
1011,Road Town,VG,75.29,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
1014,Jacqueville,CI,80.51,broken clouds,5.2052,-4.4146,Hotel Le Martin Pecheur
1015,Sibolga,ID,75.07,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
1020,Tecoanapa,MX,83.93,overcast clouds,16.5167,-98.75,Hotel Manglares
